Chan 0, Chan 1, 
-0.912502,-1.003768,
-0.836249,-0.981843,
-0.917382,-1.109742,
-0.902741,-1.009859,
-0.940563,-0.966008,
-0.956423,-0.985497,
-0.891761,-0.972707,
-0.87041,-0.904494,
-1.077817,-1.18161,
-0.900911,-1.094516,
-0.894811,-0.917284,
-0.997295,-1.068327,
-0.943003,-0.925202,
-1.011325,-1.109133,
-0.939343,-1.072591,
-0.937512,-0.960526,
-0.902741,-0.98367,
-0.983874,-1.037266,
-0.946663,-1.025085,
-0.87285,-0.978189,
-1.064397,-1.146894,
-0.904571,-1.026912,
-1.002785,-1.039093,
-1.083308,-1.169429,
-1.010715,-1.025694,
-0.974114,-1.043965,
-0.991194,-1.141413,
-1.005225,-1.154203,
-0.917382,-0.95809,
-0.993024,-1.086599,
-1.116859,-1.151157,
-1.112589,-1.12375,
-0.904571,-0.918502,
-1.052197,-1.069545,
-0.902131,-1.028739,
-0.987534,-1.031785,
-1.034506,-1.281493,
-0.916162,-0.97088,
-1.068057,-1.135931,
-1.005835,-1.046402,
-1.018645,-1.111569,
-0.937512,-1.033612,
-1.029016,-1.03483,
-1.030236,-1.053101,
-0.973504,-1.037266,
-1.005225,-1.099998,
-0.950933,-1.058582,
-1.049756,-1.062237,
-1.008275,-1.181,
-1.049146,-1.107915,
-0.932022,-1.138367,
-1.010715,-1.008032,
-0.990584,-1.198663,
-0.993024,-1.115833,
-0.940563,-1.135322,
-1.066227,-1.190136,
-1.054637,-1.082944,
-1.052807,-1.070763,
-1.15956,-1.233378,
-0.986924,-1.054319,
-1.087578,-1.171865,
-1.044266,-1.269921,
-0.993634,-1.131668,
-0.994855,-1.194399,
-1.030236,-1.150548,
-0.988144,-1.179782,
-0.986314,-1.070763,
-0.980824,-1.146285,
-0.969844,-1.176737,
-1.000955,-1.27053,
-0.977774,-1.166383,
-1.127229,-1.326562,
-0.981434,-1.164556,
-1.098558,-1.287583,
-1.066837,-1.246168,
-1.045486,-1.047011,
-1.16078,-1.269312,
-1.086968,-1.154203,
-1.200432,-1.361887,
-0.951543,-1.160902,
-1.063177,-1.216934,
-1.090628,-1.202926,
-1.15102,-1.252868,
-0.990584,-1.183437,
-1.214462,-1.338134,
-0.983264,-1.241296,
-1.047316,-1.191963,
-1.024136,-1.322908,
-0.941783,-1.065891,
-1.045486,-1.223025,
-1.050977,-1.279666,
-1.016205,-1.170038,
-1.15834,-1.21937,
-1.100998,-1.231551,
-0.975334,-1.094516,
-1.14004,-1.273575,
-1.082698,-1.202317,
-1.001565,-1.123141,
-1.037556,-1.194399,
-1.090628,-1.306464,
-1.049756,-1.149939,
-1.029016,-1.009859,
-1.1498,-1.265049,
-1.023526,-1.123141,
-1.003395,-1.145067,
-1.030846,-1.182219,
-0.929582,-1.065282,
-0.944833,-1.092689,
-1.014375,-1.126795,
-0.975334,-1.114615,
-0.792937,-0.975143,
-0.703264,-0.824709,
-0.606881,-0.610326,
-0.239038,-0.303367,
-0.196336,-0.023206,
-0.082262,0.105911,
-0.069452,0.222239,
-0.065792,0.305069,
-0.02004,0.418351,
0.078784,0.345875,
0.075123,0.43175,
0.108065,0.42566,
0.081224,0.435404,
0.055603,0.523107,
0.112945,0.471338,
0.086714,0.464638,
0.098914,0.581575,
0.073903,0.485346,
0.128805,0.381808,
0.136126,0.442104,
0.129415,0.388508,
0.103795,0.465248,
0.110505,0.474383,
0.062923,0.457939,
0.107455,0.480474,
0.114775,0.509099,
0.078784,0.481692,
0.061093,0.566958,
0.042792,0.476819,
0.076954,0.495091,
0.081224,0.454894,
0.111725,0.455503,
0.159306,0.465857,
0.181877,0.450021,
0.180047,0.483519,
0.098304,0.499963,
0.105625,0.489609,
0.120265,0.456721,
0.187367,0.440277,
0.213598,0.494482,
0.171507,0.513971,
0.203838,0.454894,
0.167847,0.437231,
0.136736,0.433577,
0.130025,0.462202,
0.108065,0.468902,
0.123925,0.462202,
0.155646,0.549296,
0.103184,0.439059,
0.144056,0.47621,
0.090984,0.447585,
0.164187,0.392771,
0.139176,0.46342,
0.180047,0.466466,
0.185537,0.528588,
0.116605,0.529806,
0.128805,0.459766,
0.170287,0.524934,
0.114775,0.510317,
0.169677,0.403734,
0.149546,0.493873,
0.186757,0.464029,
0.087934,0.512753,
0.118435,0.474992,
0.130025,0.461593,
0.172727,0.455503,
0.155646,0.448803,
0.053773,0.496309,
0.072683,0.45063,
0.085494,0.493264,
0.097694,0.474992,
0.147716,0.486564,
0.047673,0.495091,
0.098914,0.460984,
0.124535,0.530415,
0.092814,0.543814,
0.134296,0.564522,
0.138566,0.502399,
0.100744,0.442104,
0.115385,0.446976,
0.061093,0.442104,
0.041572,0.48291,
0.085494,0.41287,
0.121485,0.446367,
0.074513,0.489,
0.155646,0.498745,
0.094034,0.446976,
0.020222,0.490827,
0.060483,0.460984,
0.047063,0.524934,
0.023882,0.439668,
0.060483,0.473774,
0.114775,0.54625,
0.022052,0.460984,
0.092204,0.403734,
0.026932,0.431141,
0.124535,0.453676,
0.134296,0.466466,
0.052553,0.512144,
0.076954,0.448803,
0.125145,0.405561,
0.095864,0.450021,
0.075734,0.489,
0.100744,0.48291,
0.127585,0.485346,
0.063533,0.454285,
0.100134,0.41896,
-0.002959,0.539551,
0.075734,0.511535,
0.131245,0.487173,
0.038522,0.537115,
0.081834,0.471338,
-0.004789,0.446976,
0.033642,0.410434,
0.090984,0.47621,
0.089154,0.491436,
0.044622,0.47621,
0.110505,0.497527,
0.008631,0.498136,
0.074513,0.453067,
0.058043,0.449412,
0.035472,0.455503,
0.035472,0.455503,
0.067193,0.396425,
0.053163,0.533461,
0.058653,0.428705,
0.096474,0.507881,
0.004971,0.465857,
0.041572,0.534679,
0.065363,0.493264,
0.024492,0.470729,
0.061093,0.468293,
0.076954,0.478037,
-0.01455,0.500572,
0.093424,0.440886,
0.094034,0.503008,
0.116605,0.479256,
0.086104,0.525543,
0.051333,0.457939,
0.047673,0.543814,
0.073903,0.500572,
0.075123,0.512753,
0.066583,0.419569,
0.070853,0.402516,
0.011681,0.443931,
0.112335,0.53407,
0.015951,0.481083,
0.043402,0.524934,
0.091594,0.384854,
0.039742,0.496309,
0.092204,0.487782,
0.056213,0.51458,
-0.007839,0.45733,
0.106845,0.467075,
0.089154,0.456112,
0.080004,0.492046,
0.075734,0.493873,
0.032422,0.461593,
0.123315,0.487782,
0.067193,0.407388,
0.025102,0.459157,
0.040962,0.50849,
0.061093,0.482301,
-0.01028,0.45063,
-0.03407,0.446367,
-0.01272,0.346484,
-0.183526,0.250864,
-0.210977,0.157071,
-0.212807,0.185696,
-0.257338,0.15768,
-0.193286,0.099212,
-0.189016,0.04257,
-0.174375,0.143063,
-0.162785,0.141236,
-0.258558,0.099821,
-0.229887,0.152199,
-0.207927,0.13819,
-0.154855,0.124182,
-0.234157,0.092512,
-0.233547,0.034653,
-0.207317,0.103475,
-0.3098,0.072414,
-0.283569,0.067541,
-0.31041,0.038916,
-0.248188,0.079722,
-0.265269,0.11931,
-0.244528,0.013945,
-0.228667,0.054142,
-0.347622,0.018209,
-0.324441,0.102257,
-0.210367,0.11931,
-0.263439,0.10043,
-0.322611,0.085813,
-0.239038,0.105302,
-0.253068,0.1321,
-0.29333,0.17047,
-0.247578,0.108956,
-0.234157,0.056578,
-0.214027,0.136972,
-0.282959,0.117483,
-0.183526,0.110174,
-0.185356,0.174733,
-0.228667,0.202749,
-0.174985,0.181433,
-0.201216,0.270962,
-0.159735,0.230765,
-0.217077,0.149153,
-0.123134,0.193614,
-0.123744,0.209449,
-0.137774,0.2533,
-0.199386,0.196659,
-0.134724,0.330649,
-0.076772,0.223457,
-0.02614,0.27888,
-0.063351,0.264263,
-0.145704,0.283143,
-0.087752,0.229547,
-0.156075,0.265481,
-0.153025,0.254518,
-0.104833,0.2466,
-0.067012,0.216757,
-0.180476,0.164379,
-0.169495,0.278271,
-0.178035,0.215539,
-0.105443,0.136363,
-0.093242,0.236856,
-0.048101,0.274007,
-0.155465,0.205185,
-0.069452,0.290452,
-0.162785,0.218584,
-0.087752,0.269135,
-0.078602,0.24051,
-0.130454,0.210058,
-0.135944,0.222239,
-0.166445,0.31725,
-0.081652,0.269744,
-0.129844,0.273398,
-0.085312,0.210667,
-0.095073,0.264263,
-0.076162,0.276444,
-0.103613,0.20884,
-0.074942,0.236856,
-0.090192,0.199095,
-0.039561,0.285579,
-0.160955,0.213103,
-0.170105,0.351356,
-0.181696,0.249037,
-0.049321,0.289843,
-0.134114,0.274007,
-0.121303,0.197877,
-0.187186,0.263654,
-0.129844,0.341611,
-0.149364,0.225893,
-0.182916,0.174124,
-0.215247,0.302633,
-0.107273,0.20214,
-0.092022,0.27218,
-0.115813,0.239292,
-0.191456,0.239292,
-0.156075,0.26609,
-0.159735,0.183869,
-0.158515,0.264263,
-0.227447,0.273398,
-0.080432,0.293497,
-0.150585,0.243555,
-0.203046,0.259999,
-0.046881,0.27888,
-0.148754,0.314813,
-0.188406,0.333085,
-0.170715,0.331258,
-0.154855,0.345875,
-0.157905,0.294106,
-0.064571,0.296542,
-0.119473,0.254518,
-0.185356,0.29776,
-0.069452,0.325776,
-0.098123,0.263654,
-0.120083,0.235029,
-0.143264,0.263654,
-0.123134,0.283143,
-0.092632,0.289843,
-0.199996,0.211276,
-0.049931,0.333085,
-0.073112,0.27888,
-0.109713,0.319077,
-0.150585,0.295933,
-0.165835,0.321513,
-0.190846,0.203358,
-0.163395,0.250255,
-0.157295,0.345266,
-0.161565,0.29776,
-0.123744,0.241119,
-0.151195,0.202749,
-0.185356,0.270962,
-0.181086,0.207013,
-0.103613,0.244773,
-0.158515,0.273398,
-0.082872,0.263654,
-0.279299,0.082158,
-0.761216,-0.624334,
-0.970454,-1.08538,
-1.008885,-1.050665,
-0.894811,-0.987933,
-1.057687,-1.11766,
-0.996685,-1.053101,
-0.911892,-1.047011,
-1.041826,-1.018995,
-1.060127,-1.149939,
-1.010105,-1.137149,
-1.018645,-1.079899,
-1.095508,-1.02204,
-0.980214,-1.0665,
-1.051587,-1.132277,
-1.116249,-1.158466,
-0.967404,-1.019604,
-0.971674,-1.046402,
-1.038776,-1.024476,
-0.924702,-0.97758,
-0.903961,-0.942255,
-0.917992,-0.99646,
-0.969844,-0.940428,
-0.947883,-1.006205,
-1.010105,-1.075027,
-0.86736,-0.997069,
-0.947883,-0.920329,
-1.069887,-1.013513,
-1.013155,-1.116442,
-0.975944,-0.960526,
-1.039996,-1.095125,
-1.025356,-1.031785,
-0.952763,-0.960526,
-1.132719,-1.19379,
-1.049756,-0.969053,
-1.061957,-1.076854,
-0.971674,-0.973925,
-1.097338,-1.088426,
-0.988144,-1.049447,
-0.962523,-1.043356,
-1.122349,-1.140194,
-0.944223,-1.06041,
-0.975944,-0.973925,
-1.035116,-1.129232,
-1.107709,-1.124359,
-1.033896,-1.074418,
-1.000345,-0.994633,
-1.15529,-1.213889,
-0.970454,-0.971489,
-1.039996,-1.089644,
-1.115029,-1.183437,
-1.020475,-1.051883,
-0.974114,-1.014122,
-1.086968,-1.166992,
-0.997295,-1.233987,
-0.939343,-0.981843,
-1.025966,-1.043356,
-1.077817,-1.126186,
-0.982654,-1.103652,
-1.14126,-1.120096,
-1.004005,-1.145067,
-0.942393,-1.128014,
-1.043656,-1.058582,
-1.090628,-1.193181,
-1.001565,-1.241296,
-0.977774,-1.084771,
-1.095508,-1.228506,
-1.029626,-1.084771,
-1.108929,-1.165774,
-1.190671,-1.268703,
-1.012545,-1.151157,
-0.985094,-1.099998,
-1.133939,-1.252259,
-1.14248,-1.190745,
-1.058907,-1.112178,
-1.15285,-1.246777,
-1.186401,-1.262612,
-1.080868,-1.13654,
-1.194332,-1.212671,
-1.166881,-1.262003,
-1.13638,-1.07929,
-1.068667,-1.23886,
-1.176031,-1.282711,
-1.1376,-1.265049,
-1.076597,-1.173083,
-1.229103,-1.370413,
-1.14919,-1.267485,
-1.162,-1.198663,
-1.177861,-1.322908,
-1.15163,-1.31499,
-1.114419,-1.159075,
-1.198602,-1.317427,
-1.130889,-1.283929,
-1.119299,-1.196227,
-1.274244,-1.391121,
-1.127839,-1.275402,
-1.039386,-1.227897,
-1.130889,-1.280884,
-1.224223,-1.291847,
-1.129059,-1.194399,
-1.090018,-1.213889,
-1.226663,-1.211453,
-1.230323,-1.350924,
-1.072327,-1.161511,
-1.176641,-1.229724,
-1.134549,-1.284538,
-1.099778,-1.224243,
-1.281565,-1.338743,
-1.165051,-1.319863,
-1.105268,-1.114615,
-1.216292,-1.16212,
-1.105268,-1.178564,
-1.060737,-1.205362,
-1.263874,-1.378331,
-1.207142,-1.260785,
-1.068057,-1.223025,
-1.191892,-1.330216,
-1.168711,-1.349097,
-1.077207,-1.199272,
-1.060737,-1.177346,
-1.15041,-1.255913,
-1.067447,-1.149939,
-1.114419,-1.315599,
-1.14187,-1.26444,
-0.990584,-1.193181,
-1.083918,-1.135931,
-1.180911,-1.310118,
-0.887491,-1.054319,
-1.085138,-1.067109,
-1.027796,-1.121314,
-0.756336,-0.914848,
-0.380563,-0.396551,
-0.221347,-0.099337,
-0.084092,-0.031124,
-0.062741,0.156462,
-0.073722,0.271571,
0.051333,0.347702,
0.130635,0.385463,
0.079394,0.440886,
0.141616,0.531633,
0.131856,0.509099,
0.083054,0.424442,
0.111725,0.432359,
0.067803,0.465248,
0.046452,0.496918,
0.053163,0.520062,
0.127585,0.474992,
0.126975,0.478647,
0.106845,0.502399,
0.075123,0.454285,
0.064753,0.439059,
0.059263,0.510317,
0.069023,0.515189,
0.112945,0.530415,
0.097694,0.441495,
0.064143,0.439668,
0.089764,0.536506,
0.012291,0.44454,
0.108675,0.554168,
0.016561,0.484737,
0.157476,0.462202,
0.033032,0.45063,
0.022052,0.403734,
0.039132,0.445149,
0.074513,0.505444,
0.047063,0.482301,
0.119045,0.455503,
0.033032,0.465857,
0.154426,0.464638,
0.087324,0.481083,
0.070853,0.506663,
0.067193,0.486564,
0.076954,0.469511,
0.145886,0.493873,
0.088544,0.473165,
0.027542,0.456721,
0.090984,0.465248,
0.036082,0.465248,
0.059263,0.494482,
0.003141,0.522498,
0.019002,0.53407,
0.068413,0.434795,
0.067193,0.485346,
0.070853,0.529197,
0.085494,0.576094,
0.109285,0.511535,
0.078784,0.515189,
0.012291,0.408606,
0.139786,0.529197,
0.109895,0.573658,
0.088544,0.479865,
0.130635,0.507881,
0.209938,0.475601,
0.137346,0.497527,
0.082444,0.480474,
0.092204,0.481692,
0.067193,0.503008,
0.061093,0.498136,
0.065973,0.50179,
0.087934,0.460984,
0.073293,0.492655,
0.042792,0.484128,
0.114165,0.529806,
0.116605,0.487782,
0.110505,0.533461,
0.125145,0.505444,
0.117825,0.531024,
0.169067,0.510317,
0.134906,0.431141,
0.181877,0.452458,
0.145886,0.48291,
0.173947,0.460375,
0.166017,0.542596,
0.109895,0.525543,
0.128195,0.489,
0.152596,0.456112,
0.158696,0.550514,
0.097084,0.519453,
0.175777,0.52128,
0.114165,0.472556,
0.141616,0.474383,
0.104405,0.501181,
0.071463,0.462811,
0.083664,0.479256,
0.110505,0.483519,
0.191028,0.563304,
0.132466,0.437841,
0.147106,0.461593,
0.072683,0.52128,
0.084274,0.469511,
0.134296,0.456112,
0.152596,0.487173,
0.131245,0.515798,
0.125145,0.529197,
0.114165,0.460375,
0.179437,0.4957,
0.123315,0.436622,
0.144666,0.481083,
0.082444,0.510317,
0.048283,0.48291,
0.059873,0.526761,
0.092814,0.447585,
0.072073,0.44454,
0.134296,0.461593,
0.136126,0.481083,
0.078784,0.422614,
0.138566,0.415306,
0.106235,0.467075,
0.113555,0.437841,
0.076954,0.484737,
0.076954,0.431141,
0.142836,0.533461,
0.140396,0.499354,
0.107455,0.510926,
0.143446,0.429314,
0.082444,0.436622,
0.093424,0.55295,
0.087934,0.456112,
0.066583,0.492046,
0.169677,0.434795,
0.077564,0.479865,
0.029372,0.485955,
0.070243,0.467684,
0.083054,0.435404,
0.137956,0.484737,
0.111725,0.419569,
0.148936,0.500572,
0.072683,0.467684,
-0.01089,0.513971,
0.100744,0.537724,
-0.01272,0.453067,
0.070853,0.45063,
0.095864,0.503617,
0.085494,0.499354,
0.062923,0.447585,
0.092204,0.359883,
0.078174,0.478037,
0.026322,0.45063,
0.074513,0.429314,
0.131245,0.471947,
0.016561,0.429314,
0.100134,0.46342,
0.047063,0.462811,
0.023882,0.478647,
0.002531,0.432968,
0.114775,0.45063,
0.140396,0.42566,
0.078784,0.478647,
0.101354,0.417133,
0.064143,0.503008,
0.078174,0.479865,
0.080614,0.499354,
0.108065,0.487173,
0.043402,0.555995,
0.143446,0.496309,
0.135516,0.486564,
0.117215,0.48291,
0.127585,0.4957,
0.123925,0.536506,
0.120875,0.437841,
0.095254,0.517625,
0.113555,0.44454,
0.092204,0.434795,
0.105625,0.485955,
0.179437,0.493264,
0.111725,0.465248,
0.109285,0.452458,
0.042182,0.412261,
0.042792,0.480474,
0.079394,0.524934,
0.091594,0.486564,
0.065973,0.393989,
0.130025,0.47621,
0.066583,0.448803,
0.113555,0.415306,
0.062313,0.453676,
0.089154,0.440277,
0.135516,0.482301,
0.127585,0.385463,
0.103184,0.414697,
0.140396,0.392771,
0.109285,0.484128,
0.103184,0.439668,
0.133076,0.483519,
0.135516,0.43845,
0.144056,0.44454,
0.204448,0.488391,
0.122095,0.459157,
0.061703,0.445758,
0.112335,0.414088,
0.115385,0.507272,
0.064143,0.426269,
0.099524,0.42566,
0.195298,0.520062,
0.073293,0.490827,
0.145886,0.488391,
0.090374,0.48291,
0.152596,0.443322,
0.119655,0.551732,
0.126975,0.42566,
0.086104,0.505444,
0.065973,0.403125,
0.156256,0.423832,
0.017171,0.471338,
0.108675,0.496918,
0.048893,0.428096,
0.103184,0.346484,
0.017171,0.398253,
0.123925,0.426269,
0.043402,0.422005,
0.136126,0.513971,
0.099524,0.450021,
0.048283,0.511535,
0.001921,0.436013,
0.034862,0.487173,
0.143446,0.4957,
0.080004,0.529806,
0.031202,0.490218,
0.061093,0.411043,
0.050113,0.484737,
0.105015,0.428096,
0.016561,0.431141,
0.081834,0.411043,
-0.008449,0.457939,
0.080004,0.470729,
0.056213,0.436622,
-0.064571,0.389726,
0.084884,0.390944,
0.127585,0.538942,
0.120265,0.553559,
0.018391,0.489609,
0.082444,0.516407,
0.086714,0.404952,
0.113555,0.485346,
0.089154,0.471338,
0.059263,0.3745,
0.061703,0.478647,
0.047063,0.513362,
0.108065,0.464029,
0.109895,0.535897,
0.097694,0.437841,
0.057433,0.503008,
-0.004179,0.447585,
0.130025,0.379372,
0.017781,0.482301,
0.063533,0.470729,
0.058653,0.448803,
0.073903,0.468902,
0.087324,0.452458,
0.026932,0.407388,
0.072073,0.520671,
0.034862,0.437231,
0.131245,0.484128,
0.131856,0.419569,
0.101964,0.45063,
0.111115,0.560259,
0.119045,0.393989,
0.039132,0.397035,
0.137346,0.525543,
0.088544,0.467075,
0.102574,0.506054,
0.142226,0.395207,
0.081834,0.451849,
0.180047,0.464638,
0.086714,0.453067,
0.073293,0.442104,
0.040962,0.448194,
0.123925,0.434186,
0.022052,0.427487,
0.083054,0.458548,
0.056823,0.550514,
0.009241,0.48291,
0.065973,0.465248,
0.083054,0.462811,
0.009851,0.437841,
0.086714,0.498745,
0.023882,0.44454,
0.062313,0.447585,
0.029372,0.436622,
0.039132,0.50849,
0.114165,0.422614,
0.059873,0.500572,
0.050723,0.45124,
0.042792,0.474992,
0.115995,0.467684,
-0.0237,0.339784,
-0.173765,0.244164,
-0.30248,-0.021379,
-0.691674,-0.428221,
-0.968624,-0.853943,
-1.085748,-1.073809,
-0.961303,-1.02813,
-0.904571,-0.992197,
-1.037556,-1.051883,
